source,date,author,text,topic
newsapi,2025-05-02T21:13:17Z,The Verge,"Trump’s proposed budget deals another big blow to science, clean energy, and the environment President Donald Trump proposed drastic budget cuts today that could stymie green energy projects, gut environmental protections, and further hobble health and climate research in the US. Topline budget proposals released today for the 2026 fiscal year would …",clean energy
newsapi,2025-05-05T19:23:21Z,The Verge,"States sue Trump over ‘existential threat’ to wind energy The District of Columbia and 17 states —  including New York, Arizona, Massachusetts, California, Colorado, and Illinois — sued the Trump administration Monday over its attempts to stop wind energy developments across the US.  The states argue that by signing…",clean energy
newsapi,2025-05-05T11:00:05Z,Gizmodo.com,"This Giant Magnet Can Lift an Aircraft Carrier—and Possibly Power the Future The fusion reactor’s electromagnetic “heart” is complete, bringing us one step closer to clean, infinite energy—though there's still a long road ahead.",clean energy
newsapi,2025-05-07T21:11:25Z,The Verge,"Trump cuts Energy Star program that saved households $450 a year The Trump administration is moving to shut down the Energy Star program, which saves homeowners an average of $450 a year. “If you wanted to raise families’ energy bills, getting rid of the Energy Star label would be a pretty good way,” says Steven Nadel of t…",clean energy
newsapi,2025-04-26T11:00:00Z,Wired,Grid-Scale Battery Storage Is Quietly Revolutionizing the Energy System This energy storage technology is harnessing the potential of solar and wind power—and its deployment is growing exponentially.,clean energy
newsapi,2025-05-17T00:04:09Z,The Verge,"Meta faces Democratic probe into plans to power a giant data center with gas Meta’s building a new AI data center so massive in Louisiana that the local utility company has plans to construct three new gas-fired power plants to provide it with enough electricity. Now, advocates and lawmakers are pressing Meta for answers about how it’…",clean energy
newsapi,2025-05-21T12:10:09Z,Gizmodo.com,"The DJI Power 1000 Portable Power Station Is $550 Off on Amazon, Making It Feel Practically Free A high-powered, all-in-one energy solution is now on sale. And believe us when we say that it won’t stay in stock long at this price",clean energy
newsapi,2025-05-05T08:17:01Z,Business Insider,"For GenZers working in clean energy, DOGE's cuts mean finding creative career pivots The upheaval in Washington, DC, has clouded Gen Zs career paths, particularly in the renewable energy industry as Trump slashes programs.",clean energy
newsapi,2025-05-14T16:24:00Z,CNET,"EV, Solar Tax Credits Would End This Year Under House Republicans' Plan The proposal would mean an early expiration date for several energy-related federal tax incentives.",clean energy
newsapi,2025-05-16T16:11:57Z,Time,The Clean Energy Tax Debate Will Shape America’s Economic Future To enact the proposed language would deal a swift blow to U.S. efforts to cut emissions and transition to cleaner energy sources.,clean energy
newsapi,2025-06-10T19:10:31Z,Gizmodo.com,"Battery Recyclers Don’t Know How to Respond to Trump’s Clean Energy Reversal The president hasn't directly targeted the nascent industry, but his clean energy rollbacks could hurt it.",clean energy
newsapi,2025-06-11T21:34:22Z,The Verge,"Apple Home is expanding its energy management features Apple’s smart home didn’t get a single nod during the WWDC keynote, but it turns out there are some interesting developments coming to the Home app around energy management.  In a video posted to the Apple developer site this week, the company outlined its ne…",clean energy
newsapi,2025-05-17T00:04:09Z,The Verge,"Meta faces Democratic probe into plans to power a giant data center with gas Meta’s building a new AI data center so massive in Louisiana that the local utility company has plans to construct three new gas-fired power plants to provide it with enough electricity. Now, advocates and lawmakers are pressing Meta for answers about how it’…",clean energy
newsapi,2025-05-21T12:10:09Z,Gizmodo.com,"The DJI Power 1000 Portable Power Station Is $550 Off on Amazon, Making It Feel Practically Free A high-powered, all-in-one energy solution is now on sale. And believe us when we say that it won’t stay in stock long at this price",clean energy
newsapi,2025-05-30T21:47:04Z,The Verge,Young people sue Donald Trump over climate change A group of young people — as young as 7 and as old as 25 — are suing the Trump administration to stop its assault on renewable energy and climate action.  Executive orders President Donald Trump signed to promote fossil fuels amount to an “unconstitutional” o…,clean energy
newsapi,2025-05-16T16:11:57Z,Time,The Clean Energy Tax Debate Will Shape America’s Economic Future To enact the proposed language would deal a swift blow to U.S. efforts to cut emissions and transition to cleaner energy sources.,clean energy
newsapi,2025-06-09T23:10:45Z,BBC News,"Sizewell C nuclear plant gets £14bn go-ahead from government The chancellor calls it a ""landmark decision"" but critics say the government will regret the move.",clean energy
newsapi,2025-06-04T20:13:23Z,Gizmodo.com,‘Doctor Who’ Utterly Wasted Belinda Chandra Varada Sethu's addition to the TARDIS was a jolt of energy 'Doctor Who' needed—but it bafflingly transformed her into the modern era's most squandered companion.,clean energy
newsapi,2025-06-04T10:00:00Z,Wired,"Google DeepMind’s CEO Thinks AI Will Make Humans Less Selfish Demis Hassabis says that systems as smart as humans are almost here, and we’ll need to radically change how we think and behave.",clean energy
newsapi,2025-05-15T17:30:47Z,Gizmodo.com,U.S. Allegedly Finds Rogue Communication Devices in Chinese-Made Solar Tech Cellular radios and other undocumented devices were found in solar inverters and batteries.,clean energy
newsapi,2025-06-10T19:10:31Z,Gizmodo.com,"Battery Recyclers Don’t Know How to Respond to Trump’s Clean Energy Reversal The president hasn't directly targeted the nascent industry, but his clean energy rollbacks could hurt it.",clean energy
newsapi,2025-06-11T21:34:22Z,The Verge,"Apple Home is expanding its energy management features Apple’s smart home didn’t get a single nod during the WWDC keynote, but it turns out there are some interesting developments coming to the Home app around energy management.  In a video posted to the Apple developer site this week, the company outlined its ne…",clean energy
newsapi,2025-05-21T12:10:09Z,Gizmodo.com,"The DJI Power 1000 Portable Power Station Is $550 Off on Amazon, Making It Feel Practically Free A high-powered, all-in-one energy solution is now on sale. And believe us when we say that it won’t stay in stock long at this price",clean energy
newsapi,2025-05-30T21:47:04Z,The Verge,Young people sue Donald Trump over climate change A group of young people — as young as 7 and as old as 25 — are suing the Trump administration to stop its assault on renewable energy and climate action.  Executive orders President Donald Trump signed to promote fossil fuels amount to an “unconstitutional” o…,clean energy
newsapi,2025-06-17T15:27:19Z,Business Insider,Solar stocks are plummeting as the Senate version of Trump's 'big beautiful bill' hits clean energy Solar energy stocks dropped sharply on Tuesday as the market digested cuts to renewable power tax credits in the Senate's version of the budget bill.,clean energy
newsapi,2025-06-09T23:10:45Z,BBC News,"Sizewell C nuclear plant gets £14bn go-ahead from government The chancellor calls it a ""landmark decision"" but critics say the government will regret the move.",clean energy
newsapi,2025-06-04T20:13:23Z,Gizmodo.com,‘Doctor Who’ Utterly Wasted Belinda Chandra Varada Sethu's addition to the TARDIS was a jolt of energy 'Doctor Who' needed—but it bafflingly transformed her into the modern era's most squandered companion.,clean energy
newsapi,2025-06-04T10:00:00Z,Wired,"Google DeepMind’s CEO Thinks AI Will Make Humans Less Selfish Demis Hassabis says that systems as smart as humans are almost here, and we’ll need to radically change how we think and behave.",clean energy
newsapi,2025-05-23T11:00:00Z,Time,"Brazil’s Finance Chief Sees Climate Change as an Economic Opportunity “One of our greatest potentials is precisely the fact that we've mapped out our clean energy,” says Fernando Haddad.",clean energy
newsapi,2025-06-14T15:16:26Z,Gizmodo.com,"Roborock Smart Robot Drops from $599 to $159, Amazon Clears Stock at All-Time Low This premium Roborock robot vacuum is now priced almost the same as a basic stick vacuum you’d find at Costco.",clean energy
