source,date,author,text,topic
newsapi,2025-05-07T21:11:25Z,The Verge,"Trump cuts Energy Star program that saved households $450 a year The Trump administration is moving to shut down the Energy Star program, which saves homeowners an average of $450 a year. “If you wanted to raise families’ energy bills, getting rid of the Energy Star label would be a pretty good way,” says Steven Nadel of t…",energy
newsapi,2025-05-12T21:49:00Z,The Verge,"Duolingo is replacing hearts with energy Duolingo is making a big change: it’s moving on from hearts in favor of a new “energy” mechanic. The idea is to switch from a system that punishes mistakes to one that’s intended to feel more motivating — and a bit more gamified. Under the old system, you’d l…",energy
newsapi,2025-04-26T11:00:00Z,Wired,Grid-Scale Battery Storage Is Quietly Revolutionizing the Energy System This energy storage technology is harnessing the potential of solar and wind power—and its deployment is growing exponentially.,energy
newsapi,2025-05-05T19:23:21Z,The Verge,"States sue Trump over ‘existential threat’ to wind energy The District of Columbia and 17 states —  including New York, Arizona, Massachusetts, California, Colorado, and Illinois — sued the Trump administration Monday over its attempts to stop wind energy developments across the US.  The states argue that by signing…",energy
newsapi,2025-05-10T00:56:55Z,The Verge,Donald Trump takes aim at more water and energy efficiency standards Donald Trump signed a presidential memorandum Friday afternoon directing the Department of Energy to “consider using all lawful authority to rescind” or weaken regulations for water and energy efficiency for dishwashers and washing machines. The action also i…,energy
newsapi,2025-05-02T21:13:17Z,The Verge,"Trump’s proposed budget deals another big blow to science, clean energy, and the environment President Donald Trump proposed drastic budget cuts today that could stymie green energy projects, gut environmental protections, and further hobble health and climate research in the US. Topline budget proposals released today for the 2026 fiscal year would …",energy
newsapi,2025-05-21T17:03:03Z,The Verge,Energy efficiency rollbacks could cost Americans $43 billion in higher utility bills The Trump administration’s attempts to gut 12 energy efficiency standards could cost Americans billions of dollars in higher electricity bills.  The Department of Energy (DOE) recently announced that it plans to rollback dozens of policies in what it called i…,energy
newsapi,2025-05-05T11:00:05Z,Gizmodo.com,"This Giant Magnet Can Lift an Aircraft Carrier—and Possibly Power the Future The fusion reactor’s electromagnetic “heart” is complete, bringing us one step closer to clean, infinite energy—though there's still a long road ahead.",energy
newsapi,2025-06-11T21:34:22Z,The Verge,"Apple Home is expanding its energy management features Apple’s smart home didn’t get a single nod during the WWDC keynote, but it turns out there are some interesting developments coming to the Home app around energy management.  In a video posted to the Apple developer site this week, the company outlined its ne…",energy
newsapi,2025-06-12T19:49:39Z,The Verge,"Meta inks a new geothermal energy deal to support AI Meta’s geothermal ambitions are growing with a new agreement to support projects in New Mexico.  It announced the deal with XGS Energy today, a company developing next-generation geothermal technologies that make it possible to use this energy source in place…",energy
newsapi,2025-05-21T17:03:03Z,The Verge,Energy efficiency rollbacks could cost Americans $43 billion in higher utility bills The Trump administration’s attempts to gut 12 energy efficiency standards could cost Americans billions of dollars in higher electricity bills.  The Department of Energy (DOE) recently announced that it plans to rollback dozens of policies in what it called i…,energy
newsapi,2025-06-05T23:59:04Z,BBC News,"Most new build homes must have solar panels - Miliband The energy secretary says the move will cut energy bills, but house builders caution against burdensome regulations.",energy
newsapi,2025-06-10T19:10:31Z,Gizmodo.com,"Battery Recyclers Don’t Know How to Respond to Trump’s Clean Energy Reversal The president hasn't directly targeted the nascent industry, but his clean energy rollbacks could hurt it.",energy
newsapi,2025-06-04T20:13:23Z,Gizmodo.com,‘Doctor Who’ Utterly Wasted Belinda Chandra Varada Sethu's addition to the TARDIS was a jolt of energy 'Doctor Who' needed—but it bafflingly transformed her into the modern era's most squandered companion.,energy
newsapi,2025-05-21T12:10:09Z,Gizmodo.com,"The DJI Power 1000 Portable Power Station Is $550 Off on Amazon, Making It Feel Practically Free A high-powered, all-in-one energy solution is now on sale. And believe us when we say that it won’t stay in stock long at this price",energy
newsapi,2025-06-13T11:00:00Z,Wired,"Are Those Viral ‘Cooling Blankets’ for Real? According to physics, any blanket can cool you—for a few minutes. But a real cooling blanket is possible with phase-change materials.",energy
newsapi,2025-05-31T14:56:21Z,BBC News,"Iran significantly growing uranium stockpile, warns UN nuclear agency The International Atomic Energy Agency says Iran now possesses over 400kg of uranium at 60% purity.",energy
