source,date,author,text,topic
newsapi,2025-05-02T21:13:17Z,The Verge,"Trump’s proposed budget deals another big blow to science, clean energy, and the environment President Donald Trump proposed drastic budget cuts today that could stymie green energy projects, gut environmental protections, and further hobble health and climate research in the US. Topline budget proposals released today for the 2026 fiscal year would …",green energy
newsapi,2025-05-21T17:03:03Z,The Verge,Energy efficiency rollbacks could cost Americans $43 billion in higher utility bills The Trump administration’s attempts to gut 12 energy efficiency standards could cost Americans billions of dollars in higher electricity bills.  The Department of Energy (DOE) recently announced that it plans to rollback dozens of policies in what it called i…,green energy
newsapi,2025-05-08T09:34:30Z,BBC News,"Denyer won't seek re-election as Green Party co-leader The MP for Bristol Central, who was elected last year, says he wants to focus on her parliamentary role.",green energy
newsapi,2025-05-19T19:30:00Z,Slashdot.org,"European 'Green' Investments Hold Billions in Fossil Fuel Majors An anonymous reader shares a report: European ""green"" funds holding more than $33 billion of investments in major oil and gas companies have been revealed by an investigation, despite fossil fuels being the root cause of the climate crisis. Some of these inve…",green energy
newsapi,2025-05-14T14:10:20Z,The Verge,"How Donald Trump blew the offshore wind industry off course Rewind a few years, and it looked as if offshore wind might take off in the US. The Biden administration moved to open up much of the nation's coastlines to development, blue and even a couple swing states agreed to work with the White House to speed things u…",green energy
newsapi,2025-05-03T08:00:30Z,The Next Web,"Iberian blackout points to grid growing pains — not green energy failure Spain and Portugal have largely restored power after Monday’s unprecedented blackout — the worst in recent European history. The fallout has put the region’s reliance on renewables under fire. Santiago Abascal, leader of Spain’s far-right Vox party, even call…",green energy
newsapi,2025-05-16T07:00:11Z,The Next Web,Exclusive: Swiss startup picks Rotterdam for green aviation fuel plant Swiss tech startup Metafuels has unveiled plans to open its first commercial-scale sustainable aviation fuel (SAF) plant in the Port of Rotterdam.  Metafuels’ CEO Saurabh Kapoor told TNW that Turbe represents a “major step forward” toward ramping up SAF produ…,green energy
newsapi,2025-05-13T13:15:47Z,Yahoo Entertainment,"Europe's biggest 'green' methanol plant opens in Denmark Europe's largest ""green"" methanol plant opened in Denmark on Tuesday, boosting the continent's emissions reduction efforts -- with customers ranging from...",green energy
newsapi,2025-05-22T10:00:09Z,CNET,"How LG's 4-Stack OLED Tech Makes TVs Brighter, Better Than Ever Two new technologies, stacked panels and phosphorescent blues, could further improve OLED's already best-in-class picture quality.",green energy
newsapi,2025-05-20T11:19:55Z,Business Insider,"3 easy, high-protein air fryer recipes by a best-selling food writer, which prove they're not just for frozen food Nathan Anthony uses his air fryer to cut down on his energy bills while also making tasty, quick, healthy meals.",green energy
newsapi,2025-05-21T17:03:03Z,The Verge,Energy efficiency rollbacks could cost Americans $43 billion in higher utility bills The Trump administration’s attempts to gut 12 energy efficiency standards could cost Americans billions of dollars in higher electricity bills.  The Department of Energy (DOE) recently announced that it plans to rollback dozens of policies in what it called i…,green energy
newsapi,2025-06-06T09:00:00Z,NPR,"What the Trump-Musk breakup may mean for SpaceX and Tesla From space travel to military operations to the future of green energy, the U.S. has become reliant on Elon Musk's business empire. But it won't be easy for the government to end its reliance on Musk.",green energy
